"org","freq"
"amaya indicate limited",2
"amazon butte copper company",3
"amazon dixie mining company",5
"amazon gold company",2
"amazon gold mining company",4
"amazon manhattan mine carbonite dhd",2
"ambergate colliery company",2
"ambergris mines company",1
"ambitus exploration limited",2
"amble coal company",2
"amblygonite mine",1
"ambria steel company",1
"ambrosius hermanos",1
"ambursen hydrau lic const co",1
"amer can company",1
"amer chem soc",1
"amer diamond rock drill company",1
"amer forcite powder company",2
"amer graphite company",2
"amer grass twine company",1
"amer metal company",2
"amer steel and wire company",5
"amer window glass company",1
"amer zinc extraction company",1
"amerada petroleum corp",1
"ameranza gold mining company",1
"america",2
"america and australia",1
"america author various works",1
"america was appointed",1
"american agricultural chemical company",4
"american airlines inc",1
"american armament corp",1
"american bank note company",1
"american bauxite company",8
"american blower co",1
"american blower corp",1
"american bosch corp",1
"american boy mine patagonia",3
"american brass company",1
"american bridge co",7
"american bridge co new york",1
"american bridge co new york n y",1
"american bridge co of new york",3
"american bridge company",3
"american butile corp",1
"american can company",1
"american car a foundry company",1
"american car foundry company",7
"american carbon company",1
"american chain company",1
"american chemical a ozokerite company",4
"american chemical and textile coloring co",1
"american chicle company",2
"american chrome company",1
"american club",1
"american commander m milling company",1
"american cons copper company",2
"american consolidated copper company",6
"american consolidated mines company",1
"american consolidated mining milling company",2
"american copper company",1
"american copper gold company",2
"american core twine corp",3
"american cotter pin company",1
"american cotton oil co",1
"american department national tube co",1
"american dev mining reduction company",1
"american development m reduction company",2
"american diamond rock drill co",1
"american diesel engine corp",2
"american dos pichacos mines guaynopa g",1
"american dredge bdg construction company",1
"american e c schultze gunpowder co",1
"american eagle cons gold mining company",2
"american eagle mine exchequer mariposa company",1
"american eagles mine stratton cripple creek m dev company",2
"american education press inc",1
"american electro metal corp",1
"american emery wheel works",1
"american engineer and railroad journal",1
"american engineering and operating co",1
"american exploration and development corporation limited",26
"american exploration company",1
"american export airlines inc",1
"american fireproofing mining company",1
"american flag mining company",2
"american fluorspar company",7
"american foreign insurance company",1
"american fork exploration company",2
"american foundry and construction co",1
