"id","type","source","year","lastname","firstname","middlename","simpname","edu","org","loc","lon","lat","country","text","position","lname","nationality","company","freq","prof"
"aime58381","professional","taime",1884,"hunicke","h",NA,"hunicke, h",NA,NA,"st louis mo",-90.199404,38.627003,"united states of america",NA,NA,"hunicke",NA,NA,78851,NA
"aime58403","professional","taime",1884,"hunt","a",NA,"hunt, a",NA,NA,"pittsburgh pa",-79.995886,40.440625,"united states of america",NA,NA,"hunt",NA,NA,78851,NA
"aime58452","professional","taime",1884,"hunt","f",NA,"hunt, f","mining eng",NA,"quebec canada.",-73.549136,52.939916,"canada",NA,NA,"hunt",NA,NA,78851,NA
"aime58495","professional","taime",1884,"hunt","j",NA,"hunt, j","mechanical eng",NA,"catasauqua pa",-75.474627,40.654819,"united states of america",NA,NA,"hunt",NA,NA,78851,NA
"aime58526","professional","taime",1884,"hunt","ralph","w","hunt, r w","mining eng","Albany And Rensselaer Iron And Steel Company","troy n y",-73.691785,42.728412,"united states of america",NA,NA,"hunt",NA,NA,22,NA
"aime58554","professional","taime",1884,"hunt","thacher","rodney","hunt, t r","mining eng",NA,"montreal canada",-73.567256,45.501689,"canada",NA,NA,"hunt",NA,NA,78851,NA
"aime58583","professional","taime",1884,"hunter","edgar","t","hunter, e t","mining eng","Brugh S Mill","botetourt co va",-79.784842,37.577461,"united states of america",NA,NA,"hunter",NA,NA,1,NA
"aime58732","professional","taime",1884,"hurenminson","w",NA,"hurenminson, w",NA,NA,"chicago ill",-87.629798,41.878114,"united states of america",NA,NA,"hurenminson",NA,NA,78851,NA
"aime58801","professional","taime",1884,"hurton","f",NA,"hurton, f","mining eng",NA,"new york city",-74.005973,40.712775,NA,NA,NA,"hurton",NA,NA,78851,NA
"aime58963","professional","taime",1884,"hutcuinson","s",NA,"hutcuinson, s",NA,NA,"newtown pa",-74.93226,40.228337,"united states of america",NA,NA,"hutcuinson",NA,NA,78851,NA
"aime58974","professional","taime",1884,"hutst","n",NA,"hutst, n",NA,NA,"milwaukee wis",-87.906474,43.038903,"united states of america",NA,NA,"hutst",NA,NA,78851,NA
"aime58985","professional","taime",1884,"hutton","frederick","w","hutton, f w",NA,NA,"new york city",-74.005973,40.712775,NA,NA,NA,"hutton",NA,NA,78851,NA
