"","id","source","year","company","capital","lastname","firstname","middlename","role","loc","text","simpname","srch","temp","geometry"
"11667","myb118222","myb",1891,"CITY AND SUBUREAN GOLD MINING AND ESTATE COMPANY LIMITED",NA,"griffin","h",NA,"board","london","H. Griffin, Ckairmtan. | H. Bale. I 8. J. Mason. | B. T. Bonrke. | Hugh Parker.","griffin, h",NA,"myb",c(-0.1277583, 51.5073509)
"11668","myb118222","myb",1891,"CITY AND SUBUREAN GOLD MINING AND ESTATE COMPANY LIMITED",NA,"parker","hugh",NA,"board","london","H. Griffin, Ckairmtan. | H. Bale. I 8. J. Mason. | B. T. Bonrke. | Hugh Parker.","parker, h",NA,"myb",c(-0.1277583, 51.5073509)
"11669","myb118223","myb",1891,"CITY AND SUBUREAN GOLD MINING AND ESTATE COMPANY LIMITED",NA,"greene","e","m","board","london","8. Ford. | W. J. Scott. | E. M. Greene.","greene, e m",NA,"myb",c(-0.1277583, 51.5073509)
"11670","myb118223","myb",1891,"CITY AND SUBUREAN GOLD MINING AND ESTATE COMPANY LIMITED",NA,"scott","w","j","board","london","8. Ford. | W. J. Scott. | E. M. Greene.","scott, w j",NA,"myb",c(-0.1277583, 51.5073509)
"11672","myb118225","myb",1891,"CITY AND SUBUREAN GOLD MINING AND ESTATE COMPANY LIMITED",NA,"thomas","w","nicholls","board","london","George H. Raw. | W. Nicholls Thomas.","thomas, w n",NA,"myb",c(-0.1277583, 51.5073509)
"11847","myb119081","myb",1891,"DURBAN ROODEPOORT GOLD MINING COMPANY",NA,"jones","alfred",NA,"board","duncan","John Napier. | Archibald Parker. | Alfred Jones. I John Brin ton.","jones, a",NA,"myb",c(-97.9578128, 34.5023028)
"11848","myb119081","myb",1891,"DURBAN ROODEPOORT GOLD MINING COMPANY",NA,"napier","john",NA,"board","duncan","John Napier. | Archibald Parker. | Alfred Jones. I John Brin ton.","napier, j",NA,"myb",c(-97.9578128, 34.5023028)
"11849","myb119081","myb",1891,"DURBAN ROODEPOORT GOLD MINING COMPANY",NA,"parker","archibald",NA,"board","duncan","John Napier. | Archibald Parker. | Alfred Jones. I John Brin ton.","parker, a",NA,"myb",c(-97.9578128, 34.5023028)
"11851","myb119083","myb",1891,"DURBAN ROODEPOORT GOLD MINING COMPANY",NA,"andrew","duncan","campbell","board","duncan","Duncan Campbell Andrew. I Archibald Mitchell Campbell. | Dirk Bernard Schuitema.","andrew, d c",NA,"myb",c(-97.9578128, 34.5023028)
"11852","myb119083","myb",1891,"DURBAN ROODEPOORT GOLD MINING COMPANY",NA,"campbell","archibald","mitchell","board","duncan","Duncan Campbell Andrew. I Archibald Mitchell Campbell. | Dirk Bernard Schuitema.","campbell, a m",NA,"myb",c(-97.9578128, 34.5023028)
"11853","myb119083","myb",1891,"DURBAN ROODEPOORT GOLD MINING COMPANY",NA,"schuitema","dirk","bernard","board","duncan","Duncan Campbell Andrew. I Archibald Mitchell Campbell. | Dirk Bernard Schuitema.","schuitema, d b",NA,"myb",c(-97.9578128, 34.5023028)
"12690","myb123205","myb",1891,"NIGEL GOLD MINING COMPANY LIMITED",NA,"bale","henry",NA,"chair","london","Henry Bale, Chairman.","bale, h",NA,"myb",c(-0.1277583, 51.5073509)
"12691","myb123206","myb",1891,"NIGEL GOLD MINING COMPANY LIMITED",NA,"anderson","william",NA,"board","london","John Freeman. | Henry Griffin. Joseph Watson Shaw. | William Anderson.","anderson, w",NA,"myb",c(-0.1277583, 51.5073509)
"12692","myb123206","myb",1891,"NIGEL GOLD MINING COMPANY LIMITED",NA,"free","john",NA,"board","london","John Freeman. | Henry Griffin. Joseph Watson Shaw. | William Anderson.","free, j",NA,"myb",c(-0.1277583, 51.5073509)
